date_label,pred_day_pnl,actual_day_pnl,rank_pct
2026_03_19,1250.737895563208,-432.5,0.8292682926829268
2026_03_20,628.633335928317,54.5,0.4975609756097561
2026_03_23,420.1428303202701,2797.5,0.37073170731707317
2026_03_24,1375.4475021026446,1476.5,0.8634146341463415
2026_03_25,558.657373126878,61.5,0.44390243902439025
2026_03_26,1012.974427682942,-571.0,0.7365853658536585
2026_03_27,1906.9089270551863,554.0,0.926829268292683
2026_03_30,532.7749215837656,999.0,0.4292682926829268
2026_03_31,1106.1163309340018,-444.0,0.7707317073170732
2026_04_01,1034.5166421444715,118.0,0.7365853658536585
2026_04_02,687.2448302315822,1952.0,0.5317073170731708
2026_04_08,643.5543752279768,235.5,0.5170731707317073
2026_04_09,-137.01001793978043,91.0,0.02926829268292683
2026_04_10,165.90567792542785,344.0,0.2048780487804878
2026_04_13,115.25575328870367,407.0,0.16097560975609757
2026_04_14,-39.9399301140466,236.0,0.05853658536585366
2026_04_15,-121.84167819719205,-25.5,0.03414634146341464
2026_04_16,-124.17964584531721,321.0,0.03414634146341464
2026_04_17,566.6962415966534,487.5,0.4585365853658537
2026_04_20,-86.78026099377188,-93.0,0.04390243902439024
2026_04_21,452.87219884257536,1148.5,0.3853658536585366
2026_04_22,615.2529718584276,498.5,0.4926829268292683
2026_04_23,690.9256196112237,1765.5,0.5414634146341464
2026_04_24,437.34321631671514,451.5,0.375609756097561
2026_04_30,916.2299566815703,1905.0,0.6926829268292682
2026_05_01,131.78155776465817,345.0,0.17560975609756097
2026_05_04,340.1381295033104,-267.5,0.34146341463414637
2026_05_05,552.3539201315122,-542.5,0.44390243902439025
2026_05_06,795.0857498565605,541.0,0.6048780487804878
2026_05_07,-70.89548000852977,342.0,0.04390243902439024
2026_05_08,756.7743996137672,174.0,0.5804878048780487
2026_05_11,112.1507015158745,57.5,0.16097560975609757
2026_05_12,787.2240999622356,711.5,0.5902439024390244
2026_05_13,662.9321654100609,1359.5,0.5219512195121951
2026_05_14,463.4371955519748,-172.5,0.3902439024390244
2026_05_15,1011.2995501529248,1747.5,0.7365853658536585
